,Organization.Name,Reference.ID,Solicitation.No.,Notice.Title,Publish.Date,Classification,Notice.Type,Business.Category,Funding.Source,Funding.Instrument,Procurement.Mode,Trade.Agreement,Approved.Budget.of.the.Contract,Area.of.Delivery,Contract.Duration,Calendar.Type,Line.Item.No,Item.Name,Item.Desc,Quantity,UOM,Item.Budget,PreBid.Date,Closing.Date,Notice.Status,Award.No.,Award.Title,Award.Type,UNSPSC.Code,UNSPSC.Description,Awardee.Corporate.Title,Contract.Amount,Contract.No,Publish.Date.Award.,Award.Date,Notice.to.Proceed.Date,Contract.Efectivity.Date,Contract.End.Date,Reason.for.Award,Award.Status
188286,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5389502,BAC 18-143 STO,STOD Mid-Year Review and Planning Session,5/31/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"69,300.00",Albay,2,Day/s,1,STOD Mid-Year Review and Planning Session,Food and Accommodation,1,Package,"69,300.00",NULL,6/4/2018,Awarded,1894981,STOD Mid-Year Review and Planning Session,Award Notice,90110000,Hotels and lodging and meeting facilities,KANZO HALL & RESTAURANT,"66,000.00",BAC 18-143 STO,7/4/2018,6/5/2018,6/5/2018,6/7/2018,6/8/2018,LCRB,Updated
188317,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5389545,BAC 18-135 PBDD,Procurement of Service Provider for the Creation of Video Documentation with storyboard on Agri-Enterprise Development,5/31/2018,Goods - General Support Services,Request for Quotation (RFQ),Photography Services,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"60,000.00",Albay,2,Month/s,1,Procurement of Service Provider,Creation of Video Documentation with storyboard on Agri-Enterprise Development,1,Package,"60,000.00",NULL,6/4/2018,Awarded,1894922,Procurement of Service Provider,Award Notice,82131603,Video production services,KARRAVVA MEDIA &AMP; DIGITAL MARKETING,"60,000.00",BAC 18-135 PBDD,7/4/2018,6/19/2018,6/20/2018,6/20/2018,9/20/2018,LCRB,Updated
188335,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5389563,BAC 18-136 PBDD,CPWASH Facility Construction materials,5/31/2018,Goods,Request for Quotation (RFQ),Construction Materials and Supplies,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"141,000.00",Albay,30,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6/4/2018,Failed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
234923,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5423971,BAC 18-203 Legal,CY2018 1st Semester Assessment for PARAD and Legal Division,6/15/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"124,800.00",Catanduanes,3,Day/s,1,CY2018 1st Semester Assessment for PARAD and Legal,Food and Accommodation,1,Package,"124,800.00",NULL,6/18/2018,Awarded,1911467,CY2018 1st Semester Assessment for PARAD and Legal,Award Notice,90110000,Hotels and lodging and meeting facilities,AMENIA BEACH,"111,800.00",18-203,7/17/2018,6/25/2018,6/27/2018,6/27/2018,6/29/2018,LCRB,Updated
248544,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5433168,Bac 18-161 GAD,Gift Certificate for the Mainstreaming GAD Awareness through Sports and Culture,6/21/2018,Goods,Request for Quotation (RFQ),Tokens and Awards,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"175,200.00",Albay,1,Day/s,1,Gift Certificate,Mainstreaming GAD through Culture and Sports,1,Package,"175,200.00",NULL,6/25/2018,Awarded,1885091,Gift Certificate,Award Notice,49101705,Certificates,LION COMMERCIAL CORPORATION,"175,200.00",18-161 GAD,6/26/2018,6/26/2018,6/26/2018,6/26/2018,6/26/2018,Most Responsive Bid which is Beneficial to the Government,Updated
5451,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5459550,Bac 18-211 PBDD,Gender Equality Leadership Maturity and Governance and Policy Direction and Good Decision Making to Prevent Credit-Related Risks,7/3/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"117,800.00",Albay,2,Day/s,1,Gender Equality Leadership Maturity and Governance,Food and Accommodation,1,Package,"117,800.00",NULL,7/6/2018,Awarded,1919055,Gender Equality Leadership Maturity and Governance,Award Notice,90110000,Hotels and lodging and meeting facilities,HOTEL ST. ELLIS,"117,800.00",18-211 PBDD,7/23/2018,7/17/2018,7/17/2018,8/7/2018,8/8/2018,LCRB,Updated
5471,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5459571,BAC 18-210 GAD,Gender Sensitivity Training for (GST++) for DAR Albay Personnel,7/3/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"468,000.00",Albay,5,Day/s,1,Gender Sensitivity Training for (GST++) for DAR Al,Food and Accommodation,1,Package,"468,000.00",NULL,7/6/2018,Awarded,1916951,Gender Sensitivity Training for (GST++) for DAR Al,Award Notice,90110000,Hotels and lodging and meeting facilities,KANZO HALL & RESTAURANT,"463,775.00",18-210 GAD,7/20/2018,7/17/2018,7/17/2018,7/30/2018,8/3/2018,LCRB,Updated
5523,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5459627,BAC 18-136 PBDD,CPWASH Construction Materials,7/3/2018,Goods,Request for Quotation (RFQ),Construction Materials and Supplies,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"94,000.00",Albay,0,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/6/2018,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38495,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5483318,"BAC 18-183A PBDD, GAD, STO, Legal",Office Supplies for DAR Albay Provincial Office,7/12/2018,Goods,Request for Quotation (RFQ),Office Supplies and Devices,Government of the Philippines (GOP),General Appropriations Act,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Implementing Rules and Regulations,"288,120.25",Albay,30,Day/s,1,Office Supplies for DAR Albay Provincial Office,Various office supplies,1,Package,"288,120.25",NULL,7/16/2018,Awarded,1948465,Office Supplies for DAR Albay Provincial Office,Award Notice,44120000,Office supplies,"LUCKY EDUCATIONAL SUPPLY, INC.","221,198.56",BAc 18-183A PBDD GAD STO Legal,8/14/2018,7/23/2018,7/23/2018,7/23/2018,8/23/2018,LCRB,Updated
38536,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5483349,"BAC 18-183A PBDD, STO, Legal","Computer Supplies, Consumables and Equipment",7/12/2018,Goods,Request for Quotation (RFQ),Office Equipment Supplies and Consumables,Government of the Philippines (GOP),General Appropriations Act,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Implementing Rules and Regulations,"102,290.00",Albay,30,Day/s,1,"Computer Supplies, Consumables and Equipment",Inks and Printers,1,Package,"102,290.00",NULL,7/16/2018,Awarded,1948429,"Computer Supplies, Consumables and Equipment",Award Notice,44000000,Office Equipment and Accessories and Supplies,BITSTOP BICOL SALES CENTER,"73,306.00",BAC 18-183B PBDD STO Legal,8/14/2018,7/26/2018,7/26/2018,7/26/2018,8/26/2018,LCRB,Updated
38709,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5483491,Survey Bidding of Lot 1-5-AL-2018,SUBDIVISION SURVEY OF MODULES FOR COLLECTIVE CERTIFICATES OF LAND OWNERSHIP AWARD (CLOAs) AND NEW LANDS IN TEN (10) MUNICIPALITIES OF THE PROVINCE OF ALBAY,7/12/2018,Consulting Services,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"1,483,934.40",Albay,90,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,7/23/2018,7/24/2018,Failed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59642,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5497836,BAC 18-242 PBDD,PBDD 1st Semester Review and Planning Session,7/18/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"86,800.00",Albay,2,Day/s,1,PBDD 1st Semester Review and Planning Session,Food and Accommodation,1,Package,"86,800.00",NULL,7/23/2018,Awarded,1948355,PBDD 1st Semester Review and Planning Session,Award Notice,90110000,Hotels and lodging and meeting facilities,"CASA BASILISA, INC.","81,840.00",BAC 18-242 PBDD,8/14/2018,7/24/2018,7/24/2018,7/24/2018,7/25/2018,LCRB,Updated
103406,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5528564,BAC 18-219 PBDD,Labor and Materials for the Enhancement of TFPASI Processing center,8/1/2018,Goods - General Support Services,Request for Quotation (RFQ),Construction Projects,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"300,000.00",Albay,28,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8/6/2018,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
152541,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5563297,BAC 18-267 PBDD,Farmers Facilitators Training 1,8/15/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"157,500.00",Albay,3,Day/s,1,Farmers Facilitators Training 1,Food and Accommodation,1,Package,"157,500.00",NULL,8/20/2018,Awarded,1980948,Farmers Facilitators Training 1,Award Notice,90110000,Hotels and lodging and meeting facilities,NINONG HOTEL,"156,975.00",18-267 PBDD,9/11/2018,8/23/2018,8/22/2018,8/28/2018,8/30/2018,LCRB,Updated
152555,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5563315,BAc 18-266 PBDD,"VLFED Seminar Workshop on Good Manufacturing Practices (GMP), Sanitation Standard Operation procedure (SSOP) and Hazard Analysis and Critical Control Point(HACCP)",8/15/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"70,000.00",Albay,3,Day/s,1,"VLFED Seminar Workshop on GMP, SSOP and HACCP",Food and Accommodation,1,Package,"70,000.00",NULL,8/20/2018,Awarded,1980887,"VLFED Seminar Workshop on GMP, SSOP and HACCP",Award Notice,90110000,Hotels and lodging and meeting facilities,BALLARBARE CATERING SERVICES,"70,000.00",18-266 PBDD,9/11/2018,8/24/2018,8/24/2018,8/29/2018,8/31/2018,LCRB,Updated
152627,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5563388,BAC 18-228 Legal and PBDD,Office Supplies for DAR Albay Provincial Office (Legal and PBDD Division),8/15/2018,Goods,Request for Quotation (RFQ),Office Supplies and Devices,Government of the Philippines (GOP),General Appropriations Act,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Implementing Rules and Regulations,"90,371.24",Albay,30,Day/s,1,Office Supplies for Legal and PBDD Division),Various office supplies and equipment,1,Package,"90,371.24",NULL,8/20/2018,Awarded,2029843,Office Supplies for Legal and PBDD Division),Award Notice,44120000,Office supplies,"LUCKY EDUCATIONAL SUPPLY, INC.","83,339.64","18-288 Legal, PBDD",10/19/2018,9/6/2018,9/6/2018,9/6/2018,10/6/2018,LCRB,Updated
179735,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5581383,Survey Module Lot 1-5-AL-2018 (NL &CC),NEGOTIATED PROCUREMENT (Two Failed Bidding) FOR SUBDIVISION SURVEY OF MODULES FOR COLLECTIVE CERTIFICATES OF LAND OWNERSHIP AWARD (CLOAs) AND NEW LANDS IN TEN (10) MUNICIPALITIES OF THE PROVINCE OF AL,8/23/2018,Consulting Services,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"1,483,934.40",Albay,90,Day/s,1,Lot 1-AL-2018 (NL),Jovellar and Ligao,59,Hectare,"262,233.00",9/3/2018,9/4/2018,Awarded,2067072,Lot 1-AL-2018 (NL),Award Notice,95101900,Agricultural land,RB CORRE BUILDERS & ENGINEERING SERVICES,"262,124.94",Lot 1-AL-2018 (NL),11/21/2018,10/4/2018,10/10/2018,10/10/2018,1/10/2019,HRRB,Updated
179736,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5581383,Survey Module Lot 1-5-AL-2018 (NL &CC),NEGOTIATED PROCUREMENT (Two Failed Bidding) FOR SUBDIVISION SURVEY OF MODULES FOR COLLECTIVE CERTIFICATES OF LAND OWNERSHIP AWARD (CLOAs) AND NEW LANDS IN TEN (10) MUNICIPALITIES OF THE PROVINCE OF AL,8/23/2018,Consulting Services,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"1,483,934.40",Albay,90,Day/s,2,Lot 2-AL-2018 (NL),"Manito, Malinao and Legazpi",72,Hectare,"321,867.00",9/3/2018,9/4/2018,Awarded,2067073,Lot 2-AL-2018 (NL),Award Notice,95101900,Agricultural land,RB CORRE BUILDERS & ENGINEERING SERVICES,"321,682.22",Lot 2-AL-2018 (NL),11/21/2018,10/4/2018,10/10/2018,10/10/2018,1/10/2019,HRRB,Updated
179737,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5581383,Survey Module Lot 1-5-AL-2018 (NL &CC),NEGOTIATED PROCUREMENT (Two Failed Bidding) FOR SUBDIVISION SURVEY OF MODULES FOR COLLECTIVE CERTIFICATES OF LAND OWNERSHIP AWARD (CLOAs) AND NEW LANDS IN TEN (10) MUNICIPALITIES OF THE PROVINCE OF AL,8/23/2018,Consulting Services,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"1,483,934.40",Albay,90,Day/s,3,Lot 3-AL-2018 (NL),Pioduran and Oas,93,Hectare,"415,656.00",9/3/2018,9/4/2018,Awarded,2067074,Lot 3-AL-2018 (NL),Award Notice,95101900,Agricultural land,RB CORRE BUILDERS & ENGINEERING SERVICES,"415,469.43",Lot 3-AL-2018 (NL),11/21/2018,10/4/2018,10/10/2018,10/10/2018,1/10/2019,HRRB,Updated
179738,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5581383,Survey Module Lot 1-5-AL-2018 (NL &CC),NEGOTIATED PROCUREMENT (Two Failed Bidding) FOR SUBDIVISION SURVEY OF MODULES FOR COLLECTIVE CERTIFICATES OF LAND OWNERSHIP AWARD (CLOAs) AND NEW LANDS IN TEN (10) MUNICIPALITIES OF THE PROVINCE OF AL,8/23/2018,Consulting Services,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"1,483,934.40",Albay,90,Day/s,4,Lot 4-AL-2018 (CC),Libon and Pioduran,61,Hectare,"250,259.40",9/3/2018,9/4/2018,Awarded,2067075,Lot 4-AL-2018 (CC),Award Notice,95101900,Agricultural land,RB CORRE BUILDERS & ENGINEERING SERVICES,"250,062.76",Lot 4-AL-2018 (CC),11/21/2018,10/4/2018,10/10/2018,10/10/2018,1/10/2019,HRRB,Updated
179739,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5581383,Survey Module Lot 1-5-AL-2018 (NL &CC),NEGOTIATED PROCUREMENT (Two Failed Bidding) FOR SUBDIVISION SURVEY OF MODULES FOR COLLECTIVE CERTIFICATES OF LAND OWNERSHIP AWARD (CLOAs) AND NEW LANDS IN TEN (10) MUNICIPALITIES OF THE PROVINCE OF AL,8/23/2018,Consulting Services,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"1,483,934.40",Albay,90,Day/s,5,Lot 5-AL-2018 (CC),"Jovellar, Manito,Ligao, Oas, Pioduran",57,Hectare,"233,919.00",9/3/2018,9/4/2018,Awarded,2067076,Lot 5-AL-2018 (CC),Award Notice,95101900,Agricultural land,RB CORRE BUILDERS & ENGINEERING SERVICES,"233,765.07",Lot 5-AL-2018 (CC),11/21/2018,10/4/2018,10/10/2018,10/10/2018,1/10/2019,HRRB,Updated
210488,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5601604,BAC 18-322 PARAD,DARAB Regional LCMS Data Base and Retooling Workshop,9/3/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"79,800.00",Albay,3,Day/s,1,DARAB V Regional LCMS Data Base and Retooling,Food and Accommodation,1,Package,"79,800.00",NULL,9/6/2018,Awarded,2029900,DARAB V Regional LCMS Data Base and Retooling,Award Notice,90110000,Hotels and lodging and meeting facilities,HOTEL ST. ELLIS,"79,800.00",18-322 PARAD,10/19/2018,9/7/2018,9/10/2018,9/10/2018,9/12/2018,LCRB,Updated
